event,year,character,value,rate,type,count
Hepatitis A,2011,Area,Total,0.4,Case,1398
Hepatitis A,2012,Area,Total,0.5,Case,1562
Hepatitis A,2013,Area,Total,0.6,Case,1781
Hepatitis A,2014,Area,Total,0.4,Case,1239
Hepatitis A,2015,Area,Total,0.4,Case,1390
Hepatitis A,2016,Area,Total,0.6,Case,2007
Hepatitis A,2017,Area,Total,1,Case,3366
Hepatitis A,2018,Area,Total,3.8,Case,12474
Hepatitis A,2019,Area,Total,5.7,Case,18846
Hepatitis A,2020,Area,Total,3,Case,9952
Hepatitis A,2021,Area,Total,1.7,Case,5728
Hepatitis A,2022,Area,Total,0.7,Case,2265
Hepatitis A,2023,Area,Total,0.5,Case,1648
Hepatitis A,2011,Area,Alabama,0.2,Case,8
Hepatitis A,2012,Area,Alabama,0.4,Case,19
Hepatitis A,2013,Area,Alabama,0.2,Case,10
Hepatitis A,2014,Area,Alabama,0.3,Case,15
Hepatitis A,2015,Area,Alabama,0.5,Case,23
Hepatitis A,2016,Area,Alabama,0.4,Case,19
Hepatitis A,2017,Area,Alabama,0.5,Case,23
Hepatitis A,2018,Area,Alabama,0.8,Case,38
Hepatitis A,2019,Area,Alabama,4.9,Case,242
Hepatitis A,2020,Area,Alabama,19.6,Case,966
Hepatitis A,2021,Area,Alabama,8,Case,404
Hepatitis A,2022,Area,Alabama,1,Case,52
Hepatitis A,2023,Area,Alabama,0.4,Case,20
Hepatitis A,2011,Area,Alaska,0.6,Case,4
Hepatitis A,2012,Area,Alaska,0.1,Case,1
Hepatitis A,2013,Area,Alaska,0.1,Case,1
Hepatitis A,2014,Area,Alaska,0.1,Case,1
Hepatitis A,2015,Area,Alaska,0.5,Case,4
Hepatitis A,2016,Area,Alaska,0.3,Case,2
Hepatitis A,2017,Area,Alaska,NA,Case,NA
Hepatitis A,2018,Area,Alaska,0.1,Case,1
Hepatitis A,2019,Area,Alaska,0.3,Case,2
Hepatitis A,2020,Area,Alaska,NA,Case,NA
Hepatitis A,2021,Area,Alaska,0.1,Case,1
Hepatitis A,2022,Area,Alaska,0.3,Case,2
Hepatitis A,2023,Area,Alaska,NA,Case,NA
Hepatitis A,2011,Area,Arizona,1.2,Case,77
Hepatitis A,2012,Area,Arizona,1.4,Case,93
Hepatitis A,2013,Area,Arizona,1,Case,66
Hepatitis A,2014,Area,Arizona,0.4,Case,29
Hepatitis A,2015,Area,Arizona,0.8,Case,54
Hepatitis A,2016,Area,Arizona,0.5,Case,32
Hepatitis A,2017,Area,Arizona,0.8,Case,59
Hepatitis A,2018,Area,Arizona,1.1,Case,77
Hepatitis A,2019,Area,Arizona,8,Case,584
Hepatitis A,2020,Area,Arizona,0.6,Case,45
Hepatitis A,2021,Area,Arizona,0.4,Case,29
Hepatitis A,2022,Area,Arizona,0.2,Case,16
Hepatitis A,2023,Area,Arizona,0.7,Case,54
Hepatitis A,2011,Area,Arkansas,0.1,Case,3
Hepatitis A,2012,Area,Arkansas,0.3,Case,8
Hepatitis A,2013,Area,Arkansas,0.3,Case,9
Hepatitis A,2014,Area,Arkansas,0.1,Case,2
Hepatitis A,2015,Area,Arkansas,0.3,Case,10
Hepatitis A,2016,Area,Arkansas,0.4,Case,13
Hepatitis A,2017,Area,Arkansas,0.2,Case,7
Hepatitis A,2018,Area,Arkansas,8.4,Case,254
Hepatitis A,2019,Area,Arkansas,6.7,Case,203
Hepatitis A,2020,Area,Arkansas,13.1,Case,396
Hepatitis A,2021,Area,Arkansas,15.5,Case,468
Hepatitis A,2022,Area,Arkansas,0.7,Case,21
Hepatitis A,2023,Area,Arkansas,0.4,Case,12
Hepatitis A,2011,Area,California,0.5,Case,186
Hepatitis A,2012,Area,California,0.5,Case,209
Hepatitis A,2013,Area,California,0.7,Case,255
Hepatitis A,2014,Area,California,0.4,Case,142
Hepatitis A,2015,Area,California,0.5,Case,179
Hepatitis A,2016,Area,California,0.6,Case,229
Hepatitis A,2017,Area,California,2.4,Case,947
Hepatitis A,2018,Area,California,0.5,Case,189
Hepatitis A,2019,Area,California,0.6,Case,256
Hepatitis A,2020,Area,California,0.5,Case,203
Hepatitis A,2021,Area,California,0.2,Case,91
Hepatitis A,2022,Area,California,0.4,Case,160
Hepatitis A,2023,Area,California,0.6,Case,222
Hepatitis A,2011,Area,Colorado,0.4,Case,21
Hepatitis A,2012,Area,Colorado,0.5,Case,28
Hepatitis A,2013,Area,Colorado,1,Case,51
Hepatitis A,2014,Area,Colorado,0.4,Case,23
Hepatitis A,2015,Area,Colorado,0.5,Case,25
Hepatitis A,2016,Area,Colorado,0.4,Case,22
Hepatitis A,2017,Area,Colorado,1.2,Case,65
Hepatitis A,2018,Area,Colorado,0.5,Case,31
Hepatitis A,2019,Area,Colorado,5.8,Case,333
Hepatitis A,2020,Area,Colorado,1.6,Case,91
Hepatitis A,2021,Area,Colorado,0.2,Case,11
Hepatitis A,2022,Area,Colorado,0.5,Case,27
Hepatitis A,2023,Area,Colorado,0.4,Case,23
Hepatitis A,2011,Area,Connecticut,0.5,Case,18
Hepatitis A,2012,Area,Connecticut,0.6,Case,23
Hepatitis A,2013,Area,Connecticut,0.5,Case,19
Hepatitis A,2014,Area,Connecticut,0.6,Case,23
Hepatitis A,2015,Area,Connecticut,0.3,Case,9
Hepatitis A,2016,Area,Connecticut,0.4,Case,16
Hepatitis A,2017,Area,Connecticut,0.5,Case,17
Hepatitis A,2018,Area,Connecticut,0.4,Case,15
Hepatitis A,2019,Area,Connecticut,0.5,Case,17
Hepatitis A,2020,Area,Connecticut,0.4,Case,14
Hepatitis A,2021,Area,Connecticut,0.3,Case,11
Hepatitis A,2022,Area,Connecticut,0.1,Case,5
Hepatitis A,2023,Area,Connecticut,0.1,Case,2
Hepatitis A,2011,Area,Delaware,0.2,Case,2
Hepatitis A,2012,Area,Delaware,1,Case,9
Hepatitis A,2013,Area,Delaware,0.4,Case,4
Hepatitis A,2014,Area,Delaware,0.1,Case,1
Hepatitis A,2015,Area,Delaware,0.2,Case,2
Hepatitis A,2016,Area,Delaware,0.1,Case,1
Hepatitis A,2017,Area,Delaware,0.6,Case,6
Hepatitis A,2018,Area,Delaware,0.7,Case,7
Hepatitis A,2019,Area,Delaware,3.7,Case,36
Hepatitis A,2020,Area,Delaware,2.8,Case,28
Hepatitis A,2021,Area,Delaware,0.9,Case,9
Hepatitis A,2022,Area,Delaware,1.2,Case,12
Hepatitis A,2023,Area,Delaware,1.3,Case,13
Hepatitis A,2011,Area,District of Columbia,NA,Case,NA
Hepatitis A,2012,Area,District of Columbia,NA,Case,NA
Hepatitis A,2013,Area,District of Columbia,NA,Case,NA
Hepatitis A,2014,Area,District of Columbia,NA,Case,NA
